Species	Symbol	Ensembl	Family	Protein	Entrez ID
Mus_musculus	Foxa3	ENSMUSG00000040891	Fork_head	ENSMUSP00000043173;	15377
Mus_musculus	Zbtb25	ENSMUSG00000056459	ZBTB	ENSMUSP00000134748;ENSMUSP00000128471;ENSMUSP00000135853;	109929
Mus_musculus	Gm28363	ENSMUSG00000100265	zf-C2H2	ENSMUSP00000140366;	-
Mus_musculus	Foxc2	ENSMUSG00000046714	Fork_head	ENSMUSP00000055290;	14234
Mus_musculus	Gabpa	ENSMUSG00000008976	ETS	ENSMUSP00000109822;ENSMUSP00000009120;	14390
Mus_musculus	Gm10226	ENSMUSG00000067929	zf-C2H2	ENSMUSP00000072002;	-
Mus_musculus	Hmbox1	ENSMUSG00000021972	Homeobox	ENSMUSP00000066905;ENSMUSP00000134824;ENSMUSP00000022544;ENSMUSP00000135372;ENSMUSP00000135272;ENSMUSP00000135657;ENSMUSP00000135211;ENSMUSP00000135448;	219150
Mus_musculus	Zfp707	ENSMUSG00000034429	zf-C2H2	ENSMUSP00000154921;ENSMUSP00000105592;ENSMUSP00000119705;ENSMUSP00000105593;	69020
Mus_musculus	AC113536.1	ENSMUSG00000116496	Fork_head	ENSMUSP00000155732;ENSMUSP00000155520;ENSMUSP00000155078;ENSMUSP00000155120;	-
Mus_musculus	Nanog	ENSMUSG00000012396	Homeobox	ENSMUSP00000012540;ENSMUSP00000108200;ENSMUSP00000108199;	71950
Mus_musculus	Zfp459	ENSMUSG00000055560	zf-C2H2	ENSMUSP00000153407;ENSMUSP00000063027;ENSMUSP00000153490;	328274
Mus_musculus	Gm9045	ENSMUSG00000112027	MYB	ENSMUSP00000151826;	-
Mus_musculus	Zfp202	ENSMUSG00000025602	zf-C2H2	ENSMUSP00000026693;	80902
Mus_musculus	Hmx3	ENSMUSG00000040148	Homeobox	ENSMUSP00000039018;	15373
Mus_musculus	Zfp712	ENSMUSG00000090641	zf-C2H2	ENSMUSP00000126665;	78251
Mus_musculus	Irf5	ENSMUSG00000029771	IRF	ENSMUSP00000126273;ENSMUSP00000145299;ENSMUSP00000130548;ENSMUSP00000004392;ENSMUSP00000127021;	27056
Mus_musculus	Foxi1	ENSMUSG00000047861	Fork_head	ENSMUSP00000058651;	14233
Mus_musculus	Zkscan7	ENSMUSG00000063488	zf-C2H2	ENSMUSP00000071695;	382118
Mus_musculus	Hoxa4	ENSMUSG00000000942	Homeobox	ENSMUSP00000098943;	15401
Mus_musculus	Sox17	ENSMUSG00000025902	HMG	ENSMUSP00000142154;ENSMUSP00000141674;ENSMUSP00000027035;ENSMUSP00000142116;ENSMUSP00000112351;ENSMUSP00000142204;	20671
Mus_musculus	Rhox2h	ENSMUSG00000079627	Homeobox	ENSMUSP00000110816;	622301
Mus_musculus	Dux	ENSMUSG00000106723	Homeobox	ENSMUSP00000145279;	-
Mus_musculus	Bhlhe41	ENSMUSG00000030256	bHLH	ENSMUSP00000032386;ENSMUSP00000107332;	79362
Mus_musculus	Baz2b	ENSMUSG00000026987	MBD	ENSMUSP00000108169;ENSMUSP00000088443;	407823
Mus_musculus	Gm2004	ENSMUSG00000095648	zf-C2H2	ENSMUSP00000104677;	-
Mus_musculus	Zkscan8	ENSMUSG00000063894	zf-C2H2	ENSMUSP00000153171;ENSMUSP00000040248;	93681
Mus_musculus	Npas3	ENSMUSG00000021010	bHLH	ENSMUSP00000098975;ENSMUSP00000152411;ENSMUSP00000152452;	27386
Mus_musculus	Gm10139	ENSMUSG00000063905	zf-C2H2	ENSMUSP00000080191;	-
Mus_musculus	Gm9048	ENSMUSG00000112495	MYB	ENSMUSP00000151669;	-
Mus_musculus	Glmp	ENSMUSG00000001418	NCU-G1	ENSMUSP00000134809;ENSMUSP00000001454;ENSMUSP00000135575;ENSMUSP00000135398;ENSMUSP00000135263;	56700
Mus_musculus	Zfp442	ENSMUSG00000068130	zf-C2H2	ENSMUSP00000105542;ENSMUSP00000140098;	668923
Mus_musculus	Zfp105	ENSMUSG00000057895	zf-C2H2	ENSMUSP00000079840;	22646
Mus_musculus	Spi1	ENSMUSG00000002111	ETS	ENSMUSP00000002180;	20375
Mus_musculus	Esr2	ENSMUSG00000021055	ESR-like	ENSMUSP00000106051;ENSMUSP00000098849;ENSMUSP00000138637;ENSMUSP00000075932;ENSMUSP00000151463;	13983
Mus_musculus	Zfp943	ENSMUSG00000053347	zf-C2H2	ENSMUSP00000059554;	74670
Mus_musculus	Gm14443	ENSMUSG00000078902	zf-C2H2	ENSMUSP00000104682;	-
Mus_musculus	Gm11007	ENSMUSG00000094475	zf-C2H2	ENSMUSP00000139544;ENSMUSP00000136499;	-
Mus_musculus	Zfp580	ENSMUSG00000055633	zf-C2H2	ENSMUSP00000147223;ENSMUSP00000065861;	68992
Mus_musculus	CT573016.1	ENSMUSG00000114923	zf-C2H2	ENSMUSP00000153476;ENSMUSP00000153696;	-
Mus_musculus	Zfp36l2	ENSMUSG00000045817	zf-CCCH	ENSMUSP00000050820;	12193
Mus_musculus	Foxa2	ENSMUSG00000037025	Fork_head	ENSMUSP00000105590;ENSMUSP00000134081;ENSMUSP00000045918;	15376
Mus_musculus	Myf6	ENSMUSG00000035923	bHLH	ENSMUSP00000047529;	17878
Mus_musculus	Nr1d2	ENSMUSG00000021775	THR-like	ENSMUSP00000153325;ENSMUSP00000088031;	353187
Mus_musculus	Six3	ENSMUSG00000038805	Homeobox	ENSMUSP00000135677;ENSMUSP00000125169;ENSMUSP00000135312;	20473
Mus_musculus	Zfp740	ENSMUSG00000046897	zf-C2H2	ENSMUSP00000155827;ENSMUSP00000113770;ENSMUSP00000122698;ENSMUSP00000112985;	68744
Mus_musculus	Nr2e3	ENSMUSG00000032292	RXR-like	ENSMUSP00000034831;	23958
Mus_musculus	Foxq1	ENSMUSG00000038415	Fork_head	ENSMUSP00000036952;	15220
Mus_musculus	Rere	ENSMUSG00000039852	zf-GATA	ENSMUSP00000101307;ENSMUSP00000101305;	68703
Mus_musculus	Rhox3a	ENSMUSG00000071772	Homeobox	ENSMUSP00000110857;	382209
Mus_musculus	Csrnp1	ENSMUSG00000032515	CSRNP_N	ENSMUSP00000149632;ENSMUSP00000149214;ENSMUSP00000035101;ENSMUSP00000150628;	215418
Mus_musculus	Snai2	ENSMUSG00000022676	zf-C2H2	ENSMUSP00000023356;	20583
Mus_musculus	Prop1	ENSMUSG00000044542	Homeobox	ENSMUSP00000057231;	19127
Mus_musculus	Duxf3	ENSMUSG00000075046	Homeobox	ENSMUSP00000145004;	-
Mus_musculus	Myf5	ENSMUSG00000000435	bHLH	ENSMUSP00000000445;	17877
Mus_musculus	Sox9	ENSMUSG00000000567	HMG	ENSMUSP00000000579;	20682
Mus_musculus	Camta2	ENSMUSG00000040712	CG-1	ENSMUSP00000043792;ENSMUSP00000113847;ENSMUSP00000104184;ENSMUSP00000123602;ENSMUSP00000113667;ENSMUSP00000098493;ENSMUSP00000104185;	216874
Mus_musculus	Sox4	ENSMUSG00000076431	HMG	ENSMUSP00000100013;	20677
Mus_musculus	Esr1	ENSMUSG00000019768	ESR-like	ENSMUSP00000070070;ENSMUSP00000101213;ENSMUSP00000101215;ENSMUSP00000101214;	13982
Mus_musculus	Zfp266	ENSMUSG00000060510	zf-C2H2	ENSMUSP00000134217;ENSMUSP00000066012;	77519
Mus_musculus	Zfp54	ENSMUSG00000023882	zf-C2H2	ENSMUSP00000007884;ENSMUSP00000127089;ENSMUSP00000132983;	22712
Mus_musculus	Hes6	ENSMUSG00000067071	bHLH	ENSMUSP00000084062;	55927
Mus_musculus	Nkx2-1	ENSMUSG00000001496	Homeobox	ENSMUSP00000136103;ENSMUSP00000001536;	21869
Mus_musculus	Foxo4	ENSMUSG00000042903	Fork_head	ENSMUSP00000116165;ENSMUSP00000059420;	54601
Mus_musculus	Aff1	ENSMUSG00000029313	AF-4	ENSMUSP00000119631;ENSMUSP00000031256;ENSMUSP00000059744;	17355
Mus_musculus	Tbx3	ENSMUSG00000018604	T-box	ENSMUSP00000078657;ENSMUSP00000018748;ENSMUSP00000112519;	21386
Mus_musculus	Gm44973	ENSMUSG00000109129	zf-C2H2	ENSMUSP00000147233;	-
Mus_musculus	Zfp748	ENSMUSG00000095432	zf-C2H2	ENSMUSP00000137928;	212276
Mus_musculus	Zfp352	ENSMUSG00000070902	zf-C2H2	ENSMUSP00000102746;ENSMUSP00000079383;	236537
Mus_musculus	Ssrp1	ENSMUSG00000027067	HMG	ENSMUSP00000127058;ENSMUSP00000076971;ENSMUSP00000121639;	20833
Mus_musculus	Zfp936	ENSMUSG00000064194	zf-C2H2	ENSMUSP00000072608;ENSMUSP00000145999;ENSMUSP00000143800;	668620
Mus_musculus	Arid1a	ENSMUSG00000007880	ARID	ENSMUSP00000101517;ENSMUSP00000008024;ENSMUSP00000122354;	93760
Mus_musculus	Tcf24	ENSMUSG00000099032	bHLH	ENSMUSP00000138827;	100039596
Mus_musculus	Sox2	ENSMUSG00000074637	HMG	ENSMUSP00000096755;	20674
Mus_musculus	Sox10	ENSMUSG00000033006	HMG	ENSMUSP00000039466;ENSMUSP00000155574;	20665
Mus_musculus	Thap2	ENSMUSG00000020137	THAP	ENSMUSP00000151353;	66816
Mus_musculus	Zfp772	ENSMUSG00000066838	zf-C2H2	ENSMUSP00000074055;	232855
Mus_musculus	Bbx	ENSMUSG00000022641	HMG	ENSMUSP00000086821;ENSMUSP00000119238;ENSMUSP00000110132;ENSMUSP00000110121;ENSMUSP00000086826;	70508
Mus_musculus	Gbx2	ENSMUSG00000034486	Homeobox	ENSMUSP00000048508;	14472
Mus_musculus	Rhox3g	ENSMUSG00000080933	Homeobox	ENSMUSP00000138947;	546294
Mus_musculus	Hlx	ENSMUSG00000039377	Homeobox	ENSMUSP00000040505;	15284
Mus_musculus	Fezf1	ENSMUSG00000029697	zf-C2H2	ENSMUSP00000031709;	73191
Mus_musculus	Eomes	ENSMUSG00000032446	T-box	ENSMUSP00000035020;ENSMUSP00000118079;ENSMUSP00000107393;	13813
Mus_musculus	Pitx1	ENSMUSG00000021506	Homeobox	ENSMUSP00000134609;ENSMUSP00000021968;	18740
Mus_musculus	Zfp866	ENSMUSG00000043090	zf-C2H2	ENSMUSP00000119781;	330788
Mus_musculus	Hoxc4	ENSMUSG00000075394	Homeobox	ENSMUSP00000097740;	15423
Mus_musculus	Tal1	ENSMUSG00000028717	bHLH	ENSMUSP00000125202;ENSMUSP00000030489;ENSMUSP00000124983;	21349
Mus_musculus	Gmeb2	ENSMUSG00000038705	SAND	ENSMUSP00000116479;ENSMUSP00000037075;ENSMUSP00000116854;	229004
Mus_musculus	Ybx3	ENSMUSG00000030189	CSD	ENSMUSP00000085172;ENSMUSP00000032309;	56449
Mus_musculus	Zfp874a	ENSMUSG00000069206	zf-C2H2	ENSMUSP00000074735;	238692
Mus_musculus	Rxra	ENSMUSG00000015846	RXR-like	ENSMUSP00000115165;ENSMUSP00000133044;ENSMUSP00000109567;ENSMUSP00000097822;ENSMUSP00000076491;	20181
Mus_musculus	Atf4	ENSMUSG00000042406	TF_bZIP	ENSMUSP00000105234;	11911
Mus_musculus	Esx1	ENSMUSG00000023443	Homeobox	ENSMUSP00000074262;ENSMUSP00000108689;	13984
Mus_musculus	Ascl4	ENSMUSG00000085111	bHLH	ENSMUSP00000137794;ENSMUSP00000137650;	67341
Mus_musculus	Zfp663	ENSMUSG00000056824	zf-C2H2	ENSMUSP00000099374;ENSMUSP00000072813;	381405
Mus_musculus	Zfp941	ENSMUSG00000060314	zf-C2H2	ENSMUSP00000079482;ENSMUSP00000101667;	407812
Mus_musculus	Sox1	ENSMUSG00000096014	HMG	ENSMUSP00000137203;	20664
Mus_musculus	Arid4b	ENSMUSG00000039219	ARID	ENSMUSP00000106162;ENSMUSP00000043889;ENSMUSP00000106163;ENSMUSP00000118687;ENSMUSP00000106165;	94246
Mus_musculus	Atf6	ENSMUSG00000026663	TF_bZIP	ENSMUSP00000027974;	226641
Mus_musculus	Lhx8	ENSMUSG00000096225	Homeobox	ENSMUSP00000145485;ENSMUSP00000136047;	16875
Mus_musculus	Tcf3	ENSMUSG00000020167	bHLH	ENSMUSP00000100983;ENSMUSP00000100979;ENSMUSP00000121172;ENSMUSP00000100981;ENSMUSP00000100982;ENSMUSP00000100978;ENSMUSP00000020379;ENSMUSP00000100977;ENSMUSP00000020377;ENSMUSP00000100980;ENSMUSP00000100976;	21423
Mus_musculus	Meis3	ENSMUSG00000041420	Homeobox	ENSMUSP00000134918;ENSMUSP00000002495;	17537
Mus_musculus	Sox13	ENSMUSG00000070643	HMG	ENSMUSP00000119729;ENSMUSP00000092130;ENSMUSP00000122980;	20668
Mus_musculus	Litaf	ENSMUSG00000022500	zf-LITAF-like	ENSMUSP00000023143;ENSMUSP00000112667;	545182
Mus_musculus	Peg3	ENSMUSG00000002265	zf-C2H2	ENSMUSP00000050750;	18616
Mus_musculus	Lrrfip2	ENSMUSG00000032497	LRRFIP	ENSMUSP00000143756;ENSMUSP00000095944;ENSMUSP00000142471;ENSMUSP00000142816;ENSMUSP00000151145;ENSMUSP00000142851;ENSMUSP00000149212;ENSMUSP00000035078;ENSMUSP00000149845;ENSMUSP00000143322;ENSMUSP00000142753;	71268
Mus_musculus	Srf	ENSMUSG00000015605	SRF	ENSMUSP00000015749;	20807
Mus_musculus	Lhx5	ENSMUSG00000029595	Homeobox	ENSMUSP00000031591;	16873
Mus_musculus	Zfp869	ENSMUSG00000054648	zf-C2H2	ENSMUSP00000079780;	66869
Mus_musculus	Snai3	ENSMUSG00000006587	zf-C2H2	ENSMUSP00000006762;	30927
Mus_musculus	Foxg1	ENSMUSG00000020950	Fork_head	ENSMUSP00000021333;ENSMUSP00000136372;	15228
Mus_musculus	Insm1	ENSMUSG00000068154	zf-C2H2	ENSMUSP00000092048;	53626
Mus_musculus	Zfp37	ENSMUSG00000028389	zf-C2H2	ENSMUSP00000152266;ENSMUSP00000070463;ENSMUSP00000152291;ENSMUSP00000152491;ENSMUSP00000152520;ENSMUSP00000152400;	22696
Mus_musculus	Foxo1	ENSMUSG00000044167	Fork_head	ENSMUSP00000055308;	56458
Mus_musculus	Zfp846	ENSMUSG00000058192	zf-C2H2	ENSMUSP00000051593;ENSMUSP00000111219;	244721
Mus_musculus	Zfp600	ENSMUSG00000115945	zf-C2H2	ENSMUSP00000155682;ENSMUSP00000155108;	-
Mus_musculus	Zfhx2	ENSMUSG00000040721	Homeobox	ENSMUSP00000045156;	239102
Mus_musculus	Klf7	ENSMUSG00000025959	zf-C2H2	ENSMUSP00000109720;ENSMUSP00000054674;	93691
Mus_musculus	Zfp455	ENSMUSG00000051037	zf-C2H2	ENSMUSP00000112546;ENSMUSP00000113356;	218311
Mus_musculus	Zfp654	ENSMUSG00000047141	zf-C2H2	ENSMUSP00000052946;ENSMUSP00000146656;	72020
Mus_musculus	Id1	ENSMUSG00000042745	bHLH	ENSMUSP00000105449;ENSMUSP00000092019;	15901
Mus_musculus	Tgif2lx1	ENSMUSG00000100133	Homeobox	ENSMUSP00000073522;	245583
Mus_musculus	Thap12	ENSMUSG00000030753	THAP	ENSMUSP00000118403;ENSMUSP00000118736;ENSMUSP00000033009;	72981
Mus_musculus	Gm35315	ENSMUSG00000109771	zf-C2H2	ENSMUSP00000147534;	102638847
Mus_musculus	Dlx2	ENSMUSG00000023391	Homeobox	ENSMUSP00000024159;	13392
Mus_musculus	Nfatc4	ENSMUSG00000023411	RHD	ENSMUSP00000132763;ENSMUSP00000024179;ENSMUSP00000154682;	73181
Mus_musculus	Klf1	ENSMUSG00000054191	zf-C2H2	ENSMUSP00000064366;	16596
Mus_musculus	E2f3	ENSMUSG00000016477	E2F	ENSMUSP00000152782;ENSMUSP00000100012;ENSMUSP00000152368;	13557
Mus_musculus	Zfp787	ENSMUSG00000046792	zf-C2H2	ENSMUSP00000147060;ENSMUSP00000092468;	67109
Mus_musculus	Zfp868	ENSMUSG00000060427	zf-C2H2	ENSMUSP00000113952;ENSMUSP00000074510;	234362
Mus_musculus	Foxj2	ENSMUSG00000003154	Fork_head	ENSMUSP00000137645;ENSMUSP00000003238;ENSMUSP00000145438;	60611
Mus_musculus	Zfp61	ENSMUSG00000050605	zf-C2H2	ENSMUSP00000132551;ENSMUSP00000076954;	22719
Mus_musculus	Terf1	ENSMUSG00000025925	MYB	ENSMUSP00000140744;ENSMUSP00000027057;	21749
Mus_musculus	Egr4	ENSMUSG00000071341	zf-C2H2	ENSMUSP00000093433;	13656
Mus_musculus	Zfp42	ENSMUSG00000051176	zf-C2H2	ENSMUSP00000147607;ENSMUSP00000147606;ENSMUSP00000080765;	22702
Mus_musculus	4930522L14Rik	ENSMUSG00000072762	zf-C2H2	ENSMUSP00000108166;	100041734
Mus_musculus	Zfp474	ENSMUSG00000046886	zf-C2H2	ENSMUSP00000147873;ENSMUSP00000072453;	66758
Mus_musculus	Zfp445	ENSMUSG00000047036	zf-C2H2	ENSMUSP00000055738;ENSMUSP00000151198;	235682
Mus_musculus	Gm10772	ENSMUSG00000091347	zf-C2H2	ENSMUSP00000126511;	-
Mus_musculus	Gm5141	ENSMUSG00000091183	zf-C2H2	ENSMUSP00000144368;ENSMUSP00000126604;	380850
Mus_musculus	Prrxl1	ENSMUSG00000041730	Homeobox	ENSMUSP00000064107;ENSMUSP00000140337;ENSMUSP00000140687;ENSMUSP00000154801;ENSMUSP00000139756;	107751
Mus_musculus	Stat1	ENSMUSG00000026104	STAT	ENSMUSP00000140482;ENSMUSP00000066743;ENSMUSP00000141132;ENSMUSP00000140518;ENSMUSP00000139746;ENSMUSP00000141125;ENSMUSP00000140875;	20846
Mus_musculus	Aff2	ENSMUSG00000031189	AF-4	ENSMUSP00000033532;	14266
Mus_musculus	Glis3	ENSMUSG00000052942	zf-C2H2	ENSMUSP00000124635;ENSMUSP00000108231;	226075
Mus_musculus	Foxo3	ENSMUSG00000048756	Fork_head	ENSMUSP00000135380;ENSMUSP00000101140;ENSMUSP00000050683;ENSMUSP00000101141;	56484
Mus_musculus	Foxe1	ENSMUSG00000070990	Fork_head	ENSMUSP00000092715;	110805
Mus_musculus	Rex2	ENSMUSG00000067919	zf-C2H2	ENSMUSP00000075179;	100043034
Mus_musculus	AW146154	ENSMUSG00000074166	zf-C2H2	ENSMUSP00000096109;	101835
Mus_musculus	Zfp473	ENSMUSG00000048012	zf-C2H2	ENSMUSP00000113316;ENSMUSP00000051069;ENSMUSP00000113774;ENSMUSP00000113789;	243963
Mus_musculus	Mafa	ENSMUSG00000047591	TF_bZIP	ENSMUSP00000054226;	378435
Mus_musculus	Zfp966	ENSMUSG00000089756	zf-C2H2	ENSMUSP00000104577;	667962
Mus_musculus	Zfp148	ENSMUSG00000022811	zf-C2H2	ENSMUSP00000087106;ENSMUSP00000126338;	22661
Mus_musculus	Gm14308	ENSMUSG00000078880	zf-C2H2	ENSMUSP00000104618;	100043381
Mus_musculus	Irf2	ENSMUSG00000031627	IRF	ENSMUSP00000146495;ENSMUSP00000034041;ENSMUSP00000147279;ENSMUSP00000147318;ENSMUSP00000146992;ENSMUSP00000147138;ENSMUSP00000146714;	16363
Mus_musculus	Zfp108	ENSMUSG00000030486	zf-C2H2	ENSMUSP00000072496;ENSMUSP00000145928;ENSMUSP00000145844;	54678
Mus_musculus	Zbtb45	ENSMUSG00000049600	ZBTB	ENSMUSP00000130439;ENSMUSP00000130439;ENSMUSP00000056086;ENSMUSP00000056086;ENSMUSP00000147298;ENSMUSP00000147298;ENSMUSP00000147653;	232879
Mus_musculus	Gm21836	ENSMUSG00000096734	zf-C2H2	ENSMUSP00000137150;	-
Mus_musculus	Nfatc2	ENSMUSG00000027544	RHD	ENSMUSP00000130875;ENSMUSP00000074198;ENSMUSP00000118329;ENSMUSP00000104812;ENSMUSP00000029057;	18019
Mus_musculus	Ascl5	ENSMUSG00000097918	bHLH	ENSMUSP00000137746;	226439
Mus_musculus	Zfp790	ENSMUSG00000011427	zf-C2H2	ENSMUSP00000032796;ENSMUSP00000136932;	233056
Mus_musculus	Prox2	ENSMUSG00000042320	HPD	ENSMUSP00000105878;ENSMUSP00000135881;	73422
Mus_musculus	Zbtb8a	ENSMUSG00000028807	ZBTB	ENSMUSP00000030610;ENSMUSP00000030610;	73680
Mus_musculus	Nfat5	ENSMUSG00000003847	RHD	ENSMUSP00000075311;ENSMUSP00000118130;ENSMUSP00000127784;ENSMUSP00000076653;ENSMUSP00000116094;ENSMUSP00000119370;	54446
Mus_musculus	2810021J22Rik	ENSMUSG00000020491	zf-C2H2	ENSMUSP00000073579;	69944
Mus_musculus	Dlx4	ENSMUSG00000020871	Homeobox	ENSMUSP00000021241;	13394
Mus_musculus	Zfp651	ENSMUSG00000013419	ZBTB	ENSMUSP00000091286;ENSMUSP00000091286;ENSMUSP00000150384;	270210
Mus_musculus	Gm9040	ENSMUSG00000112814	MYB	ENSMUSP00000151606;	-
Mus_musculus	Creb3	ENSMUSG00000028466	TF_bZIP	ENSMUSP00000100008;ENSMUSP00000129401;	12913
Mus_musculus	Gm9376	ENSMUSG00000092109	Homeobox	ENSMUSP00000128952;	668814
Mus_musculus	Zfp39	ENSMUSG00000037001	zf-C2H2	ENSMUSP00000099764;	22698
Mus_musculus	Cdc5l	ENSMUSG00000023932	MYB	ENSMUSP00000024727;	71702
Mus_musculus	Sebox	ENSMUSG00000001103	Homeobox	ENSMUSP00000001130;	18292
Mus_musculus	Tbx6	ENSMUSG00000030699	T-box	ENSMUSP00000126418;ENSMUSP00000091579;	21389
Mus_musculus	Cebpd	ENSMUSG00000071637	TF_bZIP	ENSMUSP00000148145;	12609
Mus_musculus	Hes3	ENSMUSG00000028946	bHLH	ENSMUSP00000151815;ENSMUSP00000092006;	15207
Mus_musculus	Smad6	ENSMUSG00000036867	MH1	ENSMUSP00000036285;	17130
Mus_musculus	Jazf1	ENSMUSG00000063568	zf-C2H2	ENSMUSP00000074129;	231986
Mus_musculus	Hif3a	ENSMUSG00000004328	bHLH	ENSMUSP00000117728;	53417
Mus_musculus	Mef2c	ENSMUSG00000005583	SRF	ENSMUSP00000143235;ENSMUSP00000142399;ENSMUSP00000143227;ENSMUSP00000143315;ENSMUSP00000143742;ENSMUSP00000143286;ENSMUSP00000132547;ENSMUSP00000143212;ENSMUSP00000142456;ENSMUSP00000142884;ENSMUSP00000143611;ENSMUSP00000005722;ENSMUSP00000143339;ENSMUSP00000142714;ENSMUSP00000143187;ENSMUSP00000142487;ENSMUSP00000143401;ENSMUSP00000143420;ENSMUSP00000143598;ENSMUSP00000142897;ENSMUSP00000142833;ENSMUSP00000138826;ENSMUSP00000143338;ENSMUSP00000142595;ENSMUSP00000143221;	17260
Mus_musculus	Zfp940	ENSMUSG00000050855	zf-C2H2	ENSMUSP00000082947;	233057
Mus_musculus	Zfp808	ENSMUSG00000074867	zf-C2H2	ENSMUSP00000097048;	630579
Mus_musculus	AC166164	ENSMUSG00000115906	NF-YA	ENSMUSP00000154920;ENSMUSP00000155383;ENSMUSP00000155687;ENSMUSP00000155053;ENSMUSP00000155458;ENSMUSP00000155735;ENSMUSP00000155070;	-
Mus_musculus	Otx1	ENSMUSG00000005917	TF_Otx	ENSMUSP00000006071;ENSMUSP00000134704;	18423
Mus_musculus	Zfat	ENSMUSG00000022335	zf-C2H2	ENSMUSP00000125257;ENSMUSP00000124974;ENSMUSP00000125732;	380993
Mus_musculus	Zfp114	ENSMUSG00000068962	zf-C2H2	ENSMUSP00000146241;ENSMUSP00000083173;	232966
Mus_musculus	Trps1	ENSMUSG00000038679	zf-GATA	ENSMUSP00000139063;ENSMUSP00000139017;ENSMUSP00000139115;ENSMUSP00000077089;ENSMUSP00000129779;ENSMUSP00000138905;	83925
Mus_musculus	Barhl1	ENSMUSG00000026805	Homeobox	ENSMUSP00000053147;ENSMUSP00000109480;ENSMUSP00000109478;	54422
